Free Allocation,Emission Cap,Permit Price,Outputs,Emissions,Profits
0.101010101010101,1783.399304875741,28.03446594959812,"(186.99324571933727, 186.9932457193376, 186.99324571933818, 304.9138351260068, 304.9138351260071, 304.9138351260026, 106.73522005662336, 106.73520662739266, 106.73500695450494)","(183.43504267401582, 184.68671072926105, 185.9926726505652, 303.84312241459156, 303.5674426988541, 303.82169220764507, 105.8111745699019, 106.09168690419254, 106.14976002671413)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.1111111111111111,1783.399304875741,28.16838816044173,"(187.4035818656848, 187.40358186568503, 187.4035818656855, 304.5790295988982, 304.57902959889805, 304.57902959889327, 106.68024289550637, 106.68023446090102, 106.68031250800477)","(183.82363372053942, 185.0817809417891, 186.39952519745685, 303.503771667429, 303.2278900295368, 303.48288475056734, 105.7527474983274, 106.03432632911509, 106.09274474098035)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.1212121212121212,1783.399304875741,28.316296331513403,"(187.78995502925062, 187.7899550292508, 187.78995502925142, 304.2092591712189, 304.2092591712192, 304.20925917121383, 106.61964850273068, 106.61964850273121, 106.61964850273185)","(184.18599086820714, 185.4512938972034, 186.7820509572128, 303.12898134662623, 302.85296835889045, 303.10869445751496, 105.68834290899869, 105.97110253258015, 106.02951752319593)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.1313131313131313,1783.399304875741,28.44218152122042,"(188.2316259892687, 188.23162598926885, 188.23162598926925, 303.8945461969515, 303.8945461969512, 303.8945461969464, 106.5680434725509, 106.56804347255158, 106.56804347254955)","(184.60722170855212, 185.87861507190357, 187.22044737766336, 302.8099959228141, 302.5338711427412, 302.7902197195334, 105.63349500648516, 105.91725242844284, 105.97573093339506)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.1414141414141414,1783.399304875741,28.5802648313707,"(188.6534719528656, 188.6534719528661, 188.65347195286634, 303.5493379215757, 303.5493379215756, 303.5493379215708, 106.51140914348224, 106.51143459037979, 106.51141808808097)","(185.00664692995605, 186.28472077359032, 187.63870150282642, 302.46010120277424, 302.1838537978248, 302.44088517015484, 105.57330357473212, 105.8581809274011, 105.91671259885727)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.1515151515151515,1783.399304875741,28.697450879008016,"(189.12661934755826, 189.1266193475589, 189.12661934755934, 303.5723974682509, 302.94246201431173, 302.93823425911074, 106.46337596705094, 106.46337596705031, 106.46339792388082)","(185.46076669444614, 186.74451000732893, 188.108800641004, 302.479183542305, 301.5728966163527, 301.8262796960613, 105.52225162069348, 105.80803237320391, 105.86666162904783)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.1616161616161616,1783.399304875741,28.857701153160065,"(189.51542435069933, 189.51542435070007, 189.51542435070044, 302.8557471171027, 302.8557471171018, 302.8557471170974, 106.39756387187738, 106.39778896656362, 106.39780064483128)","(185.82355168054673, 187.1153875640622, 188.493437196176, 301.75709441625054, 301.4806006339885, 301.7390473217109, 105.45231138954358, 105.73958742161072, 105.7982872518522)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.1717171717171717,1783.399304875741,28.99964640174983,"(189.9502271478908, 189.9502271478921, 189.9502271478925, 302.50088399562776, 302.5008839956281, 302.5008839956229, 106.3396647295579, 106.33934082328894, 106.33934475276288)","(186.23537963867278, 187.53433712316246, 188.92454769776143, 301.39741377879835, 301.12079394206654, 301.3800977686474, 105.3907556588627, 105.67860778450604, 105.73737148326386)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.1818181818181818,1783.399304875741,29.14303790103845,"(190.38924065696668, 190.38924065696702, 190.3892406569672, 302.1424052474061, 302.1424052474064, 302.1424052474016, 106.28066678544722, 106.28059703209458, 106.28060817173241)","(186.65163157955396, 187.95733586879064, 189.35983129119535, 301.03406842992825, 300.75732125438253, 301.017490953033, 105.32806387017017, 105.61730670661606, 105.67625492207156)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
0.1919191919191919,1783.399304875741,29.29965949950372,"(190.8087686878709, 190.8087686878713, 190.80876868787178, 301.7508512512432, 301.7508512512429, 301.7508518117031, 106.2163806592141, 106.2163806592145, 106.2163806592143)","(187.04629793307905, 188.3593715248853, 189.7752852636467, 300.6371988134083, 300.36031255005923, 300.62142857142857, 105.25974308465976, 105.55029709751219, 105.60949631123384)","(0, 0, 0, 0, 0, 0, 0, 0, 0)"
