Emission Cap,Permit Price,Outputs,Emissions,Profits
15.0,226.00943339057267,"(57.37123692675475, 3.489988981178892, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 5.8832831342402505, 5.488789308824785, 5.594119798535294)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 2.272392141257197, 3.0009999969999996, 3.000999996999999)","(3162.951503415116, 46.87889881151995, 56.80424450777956, 457.6725282857647, 2028.7816394287925, 506.2713482173183, 586.037335695942, 425.9391521660149, 435.2676384115138)"
16.0,222.82620193436742,"(57.37123692675475, 3.489988981178892, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 6.611890989983053, 5.488789308824785, 6.191626375469642)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 3.000999996999999, 3.0009999969999996, 3.5985065739343476)","(3147.875325492929, 48.954369225328385, 59.00634764540068, 460.4625572396528, 2030.3503661870286, 509.02587227202935, 592.9161987163416, 432.82459541561417, 442.5902610366142)"
17.0,222.37145458348095,"(57.37123692675475, 3.489988981178892, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 6.611890989983053, 5.488789308824785, 6.594119797535294)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 3.000999996999999, 3.0009999969999996, 4.000999995999999)","(3145.7215857897595, 49.25086499872953, 59.320933807917996, 460.861132804494, 2030.5744700096343, 509.41937570841674, 593.566503228615, 433.65492050613267, 444.08452770326505)"
18.0,221.46195988170803,"(57.37123692675475, 3.489988981178892, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 6.694208803083836, 6.488789307824785, 6.594119797535292)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 3.083317810100782, 4.000999995999999, 4.000999995999997)","(3141.4141063834204, 49.84385654553194, 59.9501061329526, 461.65828393417627, 2031.0226776548448, 510.2063825811913, 594.9042495249824, 436.4596996515235, 446.1888193401855)"
19.0,220.5524651799351,"(57.37123692675475, 3.489988981178892, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 7.611890988983053, 6.488789307824785, 6.8830172580427345)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 4.000999995999999, 4.000999995999999, 4.28989745650744)","(3137.1066269770813, 50.43684809233435, 60.5792784579872, 462.4554350638586, 2031.4708853000548, 510.99338945396585, 597.4506948449997, 438.51525332534, 448.4153852053468)"
20.0,220.09771782904863,"(57.37123692675475, 3.489988981178892, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 7.611890988983053, 6.854987973816165, 7.594119796535294)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 4.000999995999999, 4.367198661991379, 5.000999994999999)","(3134.952887273912, 50.7333438657355, 60.893864620504516, 462.85401062869977, 2031.69498912266, 511.38689289035324, 597.7298809182972, 439.3448006531538, 449.86820505183255)"
20.0,220.09771782904863,"(57.37123692675475, 3.489988981178892, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 7.611890988983053, 6.854987973816165, 7.594119796535294)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 4.000999995999999, 4.367198661991379, 5.000999994999999)","(3134.952887273912, 50.7333438657355, 60.893864620504516, 462.85401062869977, 2031.69498912266, 511.38689289035324, 597.7298809182972, 439.3448006531538, 449.86820505183255)"
40.0,213.27650756575167,"(56.370236927754746, 3.4841085443659505, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 13.886925171420337, 14.012635511087424, 14.11079610935797)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 10.276034178437284, 11.524846199262639, 11.569039404408976)","(3102.9375610708016, 55.53017829119943, 65.92400232263161, 468.83264410131704, 2035.056546461738, 517.2894444361627, 612.4904946410957, 462.2550536832034, 472.25197844130344)"
60.0,206.00054995156825,"(53.9153547902282, 3.4074557442614934, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 20.70334166689434, 20.786431895186197, 20.71798892644175)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 17.181941999809457, 18.298642583361413, 18.176232221492754)","(3070.283676625393, 61.167920980723146, 71.74017636353689, 475.2098531387756, 2038.6422076234207, 523.5854994183594, 649.9419507954593, 507.61767598871495, 516.3891061343195)"
80.0,197.8150976356119,"(53.91535479022819, 3.4074557442614934, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 27.20718862444037, 27.150010157682868, 27.299201935590276)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 23.685788957355488, 24.71042401778044, 24.807790452938928)","(3034.345157812151, 66.57240208947162, 77.40272728884842, 482.3842133059164, 2042.6760764303144, 530.6685612733309, 718.3186809278825, 584.1887733821138, 593.4149699784034)"
100.0,188.26540326699615,"(53.91535479022819, 3.4074557442614934, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 33.88887276323061, 33.85926598884594, 33.94068567235988)","(1.000999998999994, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 30.454746500588534, 31.466948976315866, 31.449274189708547)","(2992.416885863369, 72.87763004967816, 84.00903670171185, 490.7543001675806, 2047.3822567050233, 538.9321334374642, 829.3086141916833, 704.602694347176, 713.9990779734135)"
120.0,178.26096154749393,"(54.915354789228196, 3.4074557442614934, 3.0921771174958157, 6.226153140976328, 25.4095240716544, 6.783839562234996, 40.28956771072133, 40.09465928304281, 40.3748481204921)","(2.0009999979999975, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 36.94055252579074, 37.70234227051248, 37.932784157287415)","(2951.304022769736, 79.14236138628534, 90.62071456565228, 499.522962594086, 2052.3125408023375, 547.5892090379848, 979.033271814659, 863.2945202719579, 874.0340011758192)"
140.0,166.89227777533233,"(54.915354789228196, 3.4074557442614934, 3.0525230310105864, 6.226153140976328, 25.4095240716544, 6.783839562234996, 46.86373463634101, 47.008145094243204, 46.95409788971037)","(2.0009999979999975, 1.0009999989999998, 1.0009999989999998, 1.0009999990000003, 1.0009999990000011, 1.0009999990000003, 43.597721174967205, 44.662181263732826, 44.56040423811884)","(2911.8389905144336, 86.6620971029137, 98.50572713130512, 509.4873517151149, 2057.9151363674673, 557.4267949476673, 1183.1803373965347, 1081.7793952661189, 1089.2115605131094)"
160.0,156.88783605583012,"(54.915354789228196, 3.4074557442614934, 3.0525230310105864, 7.2261531399763275, 26.4095240706544, 7.783839561234995, 52.47293067445722, 52.503668618075466, 52.400846495461614)","(2.0009999979999975, 1.0009999989999998, 1.0009999989999998, 2.0009999979999993, 2.000999998000001, 2.0009999979999993, 49.206917213083415, 50.20315977271735, 50.054565298878764)","(2876.9181317256866, 93.26757401360625, 105.46629440640405, 523.4582965675884, 2062.3538591099314, 567.3800837983352, 1398.7028033443999, 1305.7396159366613, 1308.4525707509993)"
180.0,147.79288903810084,"(54.915354789228196, 3.4074557442614934, 3.0525230310105864, 9.587644335365333, 27.4095240696544, 9.783839559234995, 57.320896258061715, 57.14928964063769, 57.171952853699246)","(2.0009999979999975, 1.0009999989999998, 1.0009999989999998, 4.362491193389005, 3.000999997000001, 4.000999995999999, 54.13582682194141, 54.89335498950942, 54.825671657116395)","(2845.171896463189, 99.27255302332675, 111.79408283831214, 541.5269571957771, 2064.78154727901, 583.7653961695112, 1617.2353130868223, 1529.373801829442, 1533.3337474846367)"
200.0,145.06440493278205,"(54.915354789228196, 3.4074557442614934, 3.0525230310105864, 16.943339351959345, 27.4095240696544, 16.943339351959345, 58.638791226023365, 58.60308645339773, 58.56607615840572)","(2.0009999979999975, 1.0009999989999998, 1.0009999989999998, 11.718186209983017, 3.000999997000001, 11.352249401803745, 55.45372178990306, 56.347151802349664, 56.266268528251956)","(2835.64802588444, 101.07404672624291, 113.69241936788455, 552.4695203479748, 2031.6885409055444, 593.2660107737058, 1684.6683575542875, 1599.3385393835883, 1604.9524067942693)"
200.0,145.06440493278205,"(54.915354789228196, 3.4074557442614934, 3.0525230310105864, 16.943339351959345, 27.4095240696544, 16.943339351959345, 58.638791226023365, 58.60308645339773, 58.56607615840572)","(2.0009999979999975, 1.0009999989999998, 1.0009999989999998, 11.718186209983017, 3.000999997000001, 11.352249401803745, 55.45372178990306, 56.347151802349664, 56.266268528251956)","(2835.64802588444, 101.07404672624291, 113.69241936788455, 552.4695203479748, 2031.6885409055444, 593.2660107737058, 1684.6683575542875, 1599.3385393835883, 1604.9524067942693)"
