Emission Cap,Permit Price,Outputs,Emissions,Profits
1473.6842105263158,46.38422979041934,"(145.6113425005262, 145.6113425005262, 145.6113425005262, 257.32525385607016, 257.32525385607016, 257.32525385607016, 101.38658771976047, 101.54584563658084, 101.53884426578136)","(122.36359542289372, 144.00573307583144, 143.917270517391, 254.21759315511528, 247.1972471973835, 253.95372976313683, 99.20067636596102, 99.8304536862129, 99.80083512713028)","(2659.4370549101964, 2173.353520438314, 2184.715092672857, 7138.7397244251715, 7301.0960745563425, 7144.286086211108, 5345.459993268174, 5339.601770849475, 5341.800081332249)"
1947.3684210526317,16.825651982799172,"(212.84004515168886, 212.84004515168886, 212.84004515168886, 331.42696112607223, 331.42696112607223, 331.42696112607223, 112.5976490636902, 112.56090275980043, 112.41775637237231)","(204.3919415787298, 211.80430093114597, 211.51922999637597, 329.38954186461854, 326.76628558118915, 329.32416359555305, 111.02023764117621, 111.23075539708904, 111.05070679013436)","(4541.358132241831, 4482.476355528249, 4488.627618873138, 11319.742167602211, 11339.881279196774, 11320.528897042002, 6860.104123143401, 6854.232965595607, 6850.311663768638)"
2421.0526315789475,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
2894.7368421052633,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
3368.4210526315787,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
3842.1052631578946,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
4315.78947368421,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
4789.473684210527,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
5263.157894736842,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
5736.8421052631575,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
6210.526315789473,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
6684.210526315789,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
7157.894736842105,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
7631.578947368421,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
8105.263157894737,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
8578.947368421053,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
9052.631578947368,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
9526.315789473683,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.55979154899148, 118.56999005945188, 118.28987357266766)","(257.1018687015547, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 118.06458054166863, 118.00749881668679, 117.73334483325081)","(6574.181547601373, 6171.2030859450115, 6171.357024550525, 13809.690628507426, 13809.629786633577, 13809.68985531624, 7772.99657524561, 7771.526041286661, 7752.8310701466235)"
