Free Allocation,Emission Cap,Permit Price,Outputs,Emissions,Profits,Sales,Abatements,Trades
0.101010101010101,1792.357702840185,26.702880859375,"[187.54290076821835, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.71753389931594, 107.7504131151773, 107.90627357758403]","[178.15198397385623, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.4132069743855, 308.44557408381365, 105.8837892072585, 106.25457529327409, 106.39539302925532]","[3868.44807405019, 3723.67328512578, 3732.34340400423, 9368.44230125639, 9421.73436604111, 9370.38876666586, 6169.42727923641, 6168.67951293445, 6182.57114309408]","[8202.588188254496, 8202.588188254496, 8202.588188254496, 17629.735832962022, 17629.735832962022, 17629.735832962022, 8984.722608537819, 9004.687841115596, 9031.51313600952]","[82.82100575735792, 10.6909700352968, 7.724021513895458, 19.917291201545385, 79.2918690636317, 22.96164993456166, 12.017615893096286, 7.801131870216579, 7.878488868857086]","[4757.171202915168, 4974.0760275616285, 4968.3728572045875, 8241.376240504087, 8128.709597857279, 8236.385416361602, 2827.4022081406, 2837.303264819788, 2841.0635040465822]"
0.1111111111111111,1792.357702840185,27.179718017578125,"[187.54290076821835, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.81863099065747, 107.61330546200644, 107.47537013863969]","[178.15198397385623, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.4132069743855, 308.44557408381365, 105.98488629860003, 106.11746764025128, 105.93395669472305]","[3844.02017815772, 3695.3720887932, 3704.14404999945, 9221.27486839025, 9276.57883750795, 9223.3104556594, 6169.92017705284, 6146.32405610638, 6134.54772612531]","[8202.588188254496, 8202.588188254496, 8202.588188254496, 17629.735832962022, 17629.735832962022, 17629.735832962022, 9018.296794428703, 9009.082898050321, 9022.50967602999]","[82.82100575735792, 10.6909700352968, 7.724021513895458, 19.917291201545385, 79.2918690636317, 22.96164993456166, 12.017609089812648, 7.801143317718678, 8.706878455770456]","[4842.12068868151, 5062.898813768086, 5057.0938010832415, 8388.54367337023, 8273.865126390445, 8383.463727368058, 2880.639323721028, 2884.2428472015013, 2879.255071448905]"
0.1212121212121212,1792.357702840185,27.179718017578125,"[187.54290076821835, 187.54290076821835, 187.54290076821835, 311.1082145879472, 311.1082145879472, 311.1082145879472, 107.71787731244095, 107.59176242818747, 107.5546400663121]","[178.15198397385623, 186.27488373844508, 186.06130489700564, 308.63247617010046, 304.4132069743855, 308.44557408381365, 105.88413262038351, 106.09592460634582, 106.0132266223449]","[3895.50869491609, 3746.86060555157, 3755.63256675782, 9221.27486839025, 9276.57883750795, 9223.3104556594, 6160.54110768071, 6148.68824632447, 6141.54254891206]","[8202.588188254496, 8202.588188254496, 8202.588188254496, 17629.735832962022, 17629.735832962022, 17629.735832962022, 9048.718303596457, 9039.373477998228, 9031.659025105435]","[82.82100575735792, 10.6909700352968, 7.724021513895458, 19.917291201545385, 79.2918690636317, 22.96164993456166, 12.017615869953463, 7.801145123361393, 8.706870464435857]","[4842.12068868151, 5062.898813768086, 5057.0938010832415, 8388.54367337023, 8273.865126390445, 8383.463727368058, 2877.9008671578695, 2883.6573136147076, 2881.4096057289407]"
0.1313131313131313,1792.357702840185,27.65655517578125,"[187.54290076821835, 187.54290076821835, 187.54290076821835, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.3207424989714, 107.4796031480118, 107.09788300915177]","[177.80262713989646, 186.27488373844508, 186.06130489700564, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.48699780691396, 105.98376532625664, 105.55646956518457]","[3873.86173993449, 3721.26933115364, 3730.1431346877, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6115.00613293601, 6124.77567902158, 6120.99838926425]","[8202.588188254496, 8202.588188254496, 8202.588188254496, 17105.912703130576, 18223.114636029848, 18223.114636029848, 9034.98579694365, 9054.853389859567, 9049.03363072093]","[92.41199333559113, 10.6909700352968, 7.724021513895458, 22.170411192129006, 79.2918690636317, 22.96164993456166, 12.017642784309285, 7.801154527565456, 8.706916766479537]","[4917.408167893407, 5151.721599974544, 5145.814744961895, 8005.955626807583, 8419.02065492361, 8530.542038374515, 2917.406975174432, 2931.1458534826684, 2919.3283246902015]"
0.1414141414141414,1792.357702840185,27.65655517578125,"[199.79148991589773, 187.54290076821835, 187.54290076821835, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.3207424989714, 107.4796031480118, 107.09788300915177]","[190.05121628757584, 186.27488373844508, 186.06130489700564, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.48699780691396, 105.98376532625664, 105.55646956518457]","[3926.4064977056, 3543.94756131617, 3552.82136485023, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6115.00613293601, 6124.77567902158, 6120.99838926425]","[8493.589933782005, 7972.874594347105, 7972.874594347105, 17105.912703130576, 18223.114636029848, 18223.114636029848, 9067.863722984574, 9081.286353902888, 9049.03363072093]","[92.41159874773842, 10.6909700352968, 7.724021513895458, 22.170411192129006, 79.2918690636317, 22.96164993456166, 12.017642784309285, 7.801154527565456, 8.706916766479537]","[5256.161949481678, 5151.721599974544, 5145.814744961895, 8005.955626807583, 8419.02065492361, 8530.542038374515, 2917.406975174432, 2931.1458534826684, 2919.3283246902015]"
0.1515151515151515,1792.357702840185,27.65655517578125,"[199.79148991589773, 187.54290076821835, 187.54290076821835, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.3207424989714, 107.4796031480118, 107.09788300915177]","[190.05121628757584, 186.27488373844508, 186.06130489700564, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.48699780691396, 105.98376532625664, 105.55646956518457]","[3982.2200771451, 3596.3393853861, 3605.21318892015, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6115.00613293601, 6124.77567902158, 6120.99838926425]","[8493.589933782005, 7972.874594347105, 7972.874594347105, 17105.912703130576, 18223.114636029848, 18223.114636029848, 9067.863722984574, 9081.286353902888, 9049.03363072093]","[92.41159874773842, 10.6909700352968, 7.724021513895458, 22.170411192129006, 79.2918690636317, 22.96164993456166, 12.017642784309285, 7.801154527565456, 8.706916766479537]","[5256.161949481678, 5151.721599974544, 5145.814744961895, 8005.955626807583, 8419.02065492361, 8530.542038374515, 2917.406975174432, 2931.1458534826684, 2919.3283246902015]"
0.1616161616161616,1792.357702840185,27.65655517578125,"[199.79148991589773, 187.54290076821835, 187.54290076821835, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.30055006839824, 107.44300675379303, 107.44817510688138]","[190.05121628757584, 186.27488373844508, 186.06130489700564, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.4668053763408, 105.94716893203787, 105.90676166291418]","[4038.0336565846, 3648.73120945602, 3657.60501299007, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6112.55727691491, 6121.42989124503, 6123.92962748718]","[8493.589933782005, 7972.874594347105, 7972.874594347105, 17105.912703130576, 18223.114636029848, 18223.114636029848, 9067.323778143356, 9081.478205145135, 9061.65270610928]","[92.41159874773842, 10.6909700352968, 7.724021513895458, 22.170411192129006, 79.2918690636317, 22.96164993456166, 12.01764416090528, 7.801157603274517, 8.70688120339973]","[5256.161949481678, 5151.721599974544, 5145.814744961895, 8005.955626807583, 8419.02065492361, 8530.542038374515, 2916.848522104152, 2930.133723286722, 2929.0161974187004]"
0.1717171717171717,1792.357702840185,27.65655517578125,"[187.54290076821835, 187.54290076821835, 199.79148991589773, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.32327985892402, 107.40727140534372, 107.44495310059898]","[177.80262713989646, 186.27488373844508, 198.30989404468502, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.48953516686659, 105.91143358358856, 105.90353965663178]","[3853.71544230678, 3701.12303352594, 3950.12833993209, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6115.88144900135, 6118.21303838264, 6124.68589339677]","[8202.588188254496, 8202.588188254496, 8493.589933782005, 17105.912703130576, 18223.114636029848, 18223.114636029848, 9049.80601542644, 9058.955294212781, 9062.319862749848]","[92.41199333559113, 10.6909700352968, 7.723917771261409, 22.170411192129006, 79.2918690636317, 22.96164993456166, 12.017642611383561, 7.801160609695011, 8.70688152890377]","[4917.408167893407, 5151.721599974544, 5484.568526550165, 8005.955626807583, 8419.02065492361, 8530.542038374515, 2917.477149809962, 2929.1454066506085, 2928.9270878241746]"
0.1818181818181818,1792.357702840185,27.65655517578125,"[187.54290076821835, 187.54290076821835, 199.79148991589773, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.3207424989714, 107.4796031480118, 107.09788300915177]","[177.80262713989646, 186.27488373844508, 198.30989404468502, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.48699780691396, 105.98376532625664, 105.55646956518457]","[3906.10726637671, 3753.51485759586, 4005.94191937159, 9077.78666513087, 9724.80211204261, 9669.61094772077, 6115.00613293601, 6124.77567902158, 6120.99838926425]","[7972.874594347105, 7972.874594347105, 8493.589933782005, 17105.912703130576, 18223.114636029848, 18223.114636029848, 9051.99009695349, 9061.202788280876, 9049.03363072093]","[92.41199333559113, 10.6909700352968, 7.723917771261409, 22.170411192129006, 79.2918690636317, 22.96164993456166, 12.017642784309285, 7.801154527565456, 8.706916766479537]","[4917.408167893407, 5151.721599974544, 5484.568526550165, 8005.955626807583, 8419.02065492361, 8530.542038374515, 2917.406975174432, 2931.1458534826684, 2919.3283246902015]"
0.1919191919191919,1792.357702840185,28.13339233398437,"[187.54290076821835, 187.54290076821835, 199.79148991589773, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.01743385909805, 107.34441763659603, 107.25865646501146]","[177.80262713989646, 186.2313963153644, 198.30989404468502, 289.47768714949615, 304.4132069743855, 308.44557408381365, 105.13708683010191, 105.8190254488652, 105.71724302112125]","[3890.87902991965, 3734.2521522502, 3985.47773127317, 8939.75294742729, 9579.64658350944, 9522.53263671431, 6084.93001389683, 6102.98006152577, 6095.75608167402]","[7972.874594347105, 7972.874594347105, 8493.589933782005, 17105.912703130576, 18223.114636029848, 18223.114636029848, 9059.703199776934, 9095.190648833954, 9078.647656452435]","[92.41199333559113, 11.909000899000736, 7.723917771261409, 22.170411192129006, 79.2918690636317, 22.96164993456166, 13.319681435242641, 8.61927595826335, 8.706900398037067]","[5002.191067339844, 5239.320937445878, 5579.130052869995, 8143.989344511161, 8564.176183456775, 8677.620349380972, 2957.862912643438, 2977.0481593528016, 2974.1846743803753]"
