Percentage of BAU,Emission Cap,Permit Price,Outputs,Emissions,Profits
0.6210526315789473,1391.4355850996171,53.2054400537163,"(128.30467989301465, 128.30467989301465, 128.30467989301465, 241.54945043799546, 257.32525385607016, 241.54945043799546, 98.95343960359354, 98.78469108167361, 98.76390744238898)","(123.18396571169907, 126.58705314590395, 126.57786250474324, 238.23324320707252, 246.0929932559675, 237.9427022542738, 96.65501341658351, 97.00084220622536, 96.95494628267289)","(1951.66989960877, 1811.13702352336, 1822.73166997964, 6262.54139410256, 6876.21349708117, 6269.61199640232, 5044.07977459295, 5017.52542095691, 5015.49358095948)"
0.6631578947368422,1485.7702010385747,48.2032191939652,"(145.6113425005262, 136.68436915929485, 145.6113425005262, 257.32525385607016, 257.32525385607016, 257.32525385607016, 100.75075111675379, 100.75443069655977, 100.79446749765019)","(140.6211926307432, 135.02369547386013, 143.917270517391, 254.11501348154368, 247.1972471973835, 253.83810085514176, 98.50928885246107, 99.03903874619184, 99.02133711931349)","(2191.80755813218, 1944.55574818229, 2079.43448059547, 7057.99213934136, 7232.94453052144, 7063.84499678108, 5266.09317460080, 5253.38436807332, 5258.53364675492)"
0.7052631578947368,1580.1048169775315,40.92726157978177,"(165.25245376608015, 155.12134484087642, 155.12134484087642, 274.13138881578993, 274.13138881578993, 274.13138881578993, 103.53126820796976, 103.52980847281779, 103.60790466692347)","(160.63435772167938, 153.56897351649818, 153.49091370040838, 271.12303109531706, 264.999076289197, 270.97974862531606, 101.45236530839526, 101.8802441740342, 101.90432127711081)","(2724.09295624732, 2465.47509936090, 2476.39006425917, 8002.06494595999, 8128.65522777085, 8006.43215229644, 5616.90950734570, 5606.99728233028, 5613.89625372983)"
0.7473684210526317,1674.4394329164888,35.4702933691442,"(165.25245376608015, 165.25245376608015, 176.04523429126368, 292.0351469142523, 292.0351469142523, 292.0351469142523, 105.56953962487283, 105.631137354663, 105.66394239109096)","(160.75210630866343, 163.80132040490818, 174.47605192646915, 289.2159789642785, 283.800641411932, 289.0890517754534, 103.54215850089707, 104.01353261342037, 104.027179090855)","(2997.58813237644, 2913.99277195127, 3112.25824313875, 8448.68938399267, 8543.71630832771, 8452.03015003678, 5884.64192999424, 5880.39666372839, 5886.19663866006)"
0.7894736842105263,1768.774048855446,29.103830456733704,"(176.04523429126368, 187.54290076821835, 187.54290076821835, 292.0351469142523, 311.1082145879472, 311.1082145879472, 107.89194996487447, 108.02601752196682, 108.09868876985539)","(171.88042281126383, 186.2313963153644, 186.0326667717967, 289.47768714949615, 304.0576713997042, 308.3542571105595, 106.01160293571469, 106.50062533423599, 106.55727532588818)","(3382.01401871867, 3532.08445431993, 3541.24478767337, 9083.79983429210, 9737.28110427440, 9675.96869823821, 6204.90066314577, 6207.75839170301, 6214.81130277528)"
0.831578947368421,1863.1086647944028,22.737367544323206,"(199.79148991589773, 199.79148991589773, 199.79148991589773, 311.1082145879472, 331.42696112607223, 311.1082145879472, 110.39377479293246, 110.31340721312388, 110.41726176599991)","(195.9371980975497, 198.60617211926584, 198.36555320450842, 308.788171562495, 325.694562496615, 308.7017588426857, 108.64979745681636, 108.87497502733578, 108.96564509253305)","(3981.26293669250, 3934.03314221032, 3941.79035985764, 10314.1871884416, 11023.5979963874, 10315.6150045104, 6549.03227424405, 6534.76293448330, 6544.27622516308)"
0.8736842105263158,1957.44328073336,16.37090463191271,"(212.84004515168886, 212.84004515168886, 212.84004515168886, 331.42696112607223, 331.42696112607223, 331.42696112607223, 112.6785939046906, 112.68510271101395, 112.73210164232778)","(209.36406849197758, 211.8386449700378, 211.51922999637597, 329.38954186461854, 327.0013115096878, 329.32416359555305, 111.10118248220533, 111.35495534812176, 111.39213210288537)","(4600.09752504306, 4569.16389427847, 4575.16576543227, 11629.3075482849, 11648.2736734870, 11630.0600741907, 6880.18822551108, 6879.68757609516, 6886.63319645704)"
0.9157894736842106,2051.777896672317,11.823431123048067,"(226.74081215918238, 226.74081215918238, 226.74081215918238, 331.42696112607223, 353.07274217914176, 353.07274217914176, 114.43250430375433, 114.28727511040127, 114.38811998702198)","(223.6859459004456, 225.88027694932245, 225.51736470457303, 329.69491730647746, 349.47450304796683, 351.2352815267188, 113.04110935898451, 113.05726913051595, 113.15121321770526)","(4865.30150038675, 4844.97527322689, 4849.50433301731, 11617.7738260593, 12384.7840643682, 12375.9703093490, 7137.97391964037, 7123.08605468632, 7132.38268630709)"
0.9578947368421052,2146.1125126112743,5.456968210637569,"(226.74081215918238, 241.54945043799546, 241.54945043799546, 353.07274217914176, 376.13222749306016, 353.07274217914176, 116.56669377556774, 116.66951885735236, 116.665916024008)","(224.38129327051013, 240.931697970708, 240.53918322714904, 351.8210042176732, 374.19840526469795, 351.8047251493685, 115.45658969480665, 115.65810455864604, 115.65330109190064)","(5475.30656637011, 5824.79077231456, 5826.94880466470, 12922.9965677167, 13767.9617777283, 12923.0454249684, 7475.93441869344, 7486.74157738490, 7492.73386698311)"
1.0,2240.4471285502314,0.4547473508864641,"(257.32525385607016, 241.54945043799546, 241.54945043799546, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.48868015642466, 118.47889855254726, 118.41298142188649)","(256.2927119621017, 241.33484674246978, 240.98119267442095, 375.7054375143886, 375.87372216012, 375.7150041209434, 117.99346914910181, 117.91640730978216, 117.85645268246964)","(6574.58020534754, 6171.24128011283, 6171.38567686614, 13814.8392035746, 13814.7783592255, 13814.8341250164, 7775.34114996400, 7779.15523258688, 7768.24213916311)"
