Percentage of BAU,Emission Cap,Permit Price,Outputs,Emissions,Profits
0.5789473684210527,1297.0944898845705,59.5719029661268,"(113.05435970093556, 113.0549750482284, 120.43937965551672, 226.7393215276386, 226.7443852072219, 241.55022729583973, 96.04888059747016, 96.37008354211719, 96.56120181357622)","(106.70275904933777, 111.21754250003126, 118.64450433895861, 223.20206272101157, 214.28389979170157, 237.8190065893675, 93.72051480302706, 94.47020232965713, 94.63575821638169)","(1647.103910538487, 1400.5669573454788, 1498.7569615406476, 5565.854214084325, 5831.287131307582, 5928.5111802286265, 4726.2351020447495, 4723.047120666373, 4734.297705023273)"
0.631578947368421,1415.0121707831677,50.93170329928398,"(136.68436915929462, 136.68436915928262, 136.68436915929902, 257.32525385589867, 257.3252538560157, 257.3252538561494, 107.04403268979573, 77.87525632325128, 45.163018049153216)","(130.42159480866982, 134.96674241218415, 134.95755177102342, 254.00904662514722, 246.6594008604917, 253.83810085514176, 143.84877724045865, 124.74025223927744, 104.4512147344046)","(2064.641654795326, 1857.4483749377823, 1869.0320429118528, 6399.816475720776, 6594.985966243941, 6406.342963973022, 10568.522777312004, 8225.98389783714, 5884.313947150042)"
0.6842105263157894,1532.929851681765,43.655745685100555,"(155.1213448408523, 145.61134250052226, 155.12134484089265, 274.1313888157069, 274.13138881578203, 274.13138881582177, 72.37998005506493, 107.99865143134708, 61.82191936365716)","(149.03750999523433, 144.05897117614796, 153.45939768511485, 271.0237281148351, 264.5141067267439, 270.87165966198677, 9.401199721647703, 135.5394254058455, 4.000999995999999)","(2567.740422519439, 2249.591251172989, 2404.6086870200693, 7299.738753729522, 7443.695531986505, 7304.683471228307, 1410.1365770359403, 9407.317881163777, 723.4437682696905)"
0.7368421052631579,1650.8475325803624,36.834535421803594,"(165.25165387594495, 165.24594379863504, 165.27760054159316, 292.03488030051227, 274.12375245194283, 292.04606737172963, 105.20872399005137, 104.8705230030422, 105.28148244130713)","(159.347558425421, 163.80132040490818, 163.65294043576745, 289.2159789642785, 265.89688331346963, 288.9880117850082, 103.17748977658668, 103.33049366118048, 103.58258086383549)","(3034.8111629885198, 2890.937604410068, 2901.941839298699, 8596.776752846274, 8176.415001560112, 8600.737933248422, 5823.531143334689, 5795.312471093368, 5819.531721514721)"
0.7894736842105263,1768.7652134789598,29.103830456733704,"(187.52473297976647, 176.04502595508177, 187.55883065099954, 311.10163679074395, 292.0345694820158, 311.1139996684343, 108.09480522642245, 107.79841111041185, 108.17386318100124)","(181.90641468503358, 174.73372983840974, 186.0326667717967, 308.550754823191, 284.9846037260093, 308.3542571105595, 106.1822219638309, 106.34443475324814, 106.57379120803566)","(3641.390041381078, 3317.1218625339347, 3541.5598422924704, 9673.459227464416, 9147.409362130626, 9676.177657934088, 6213.675657987938, 6190.096126868835, 6212.9865249754275)"
0.8421052631578947,1886.682894377557,20.91837814077735,"(199.7899228063461, 199.79136330653571, 199.83667835077782, 331.4187748936778, 311.1075951825438, 331.4329858811522, 110.96025205070697, 111.00083687096163, 111.20527719108038)","(194.42341309018735, 198.64547958395806, 198.39259378761992, 329.1810534357304, 305.6648847657895, 329.10030206598447, 109.28162201686779, 109.59803054333803, 109.71003863087542)","(4332.519914037468, 4258.001811734495, 4266.311863408409, 10880.367012213626, 10247.618982647888, 10882.080177008176, 6629.990936228358, 6629.394295384807, 6642.654126018853)"
0.894736842105263,2004.6005752761541,14.097167877480388,"(212.84004515168886, 212.84004515168886, 226.74081215918238, 331.42696112607223, 331.42696112607223, 353.07274217914176, 113.54984097989876, 113.55339625010731, 113.53435832768248)","(207.91931708843583, 211.90749054478144, 225.4696144071313, 329.5176679222378, 327.4364022662785, 351.1070855963691, 112.0496479871664, 112.27429696198028, 112.24695072899229)","(4753.035722685331, 4706.585224905789, 5018.681844669297, 11623.37012553149, 11637.040477278157, 12381.853353872102, 7003.46329732063, 7002.586125962744, 7001.423881365517)"
0.9473684210526314,2122.5182561747515,6.821210263296962,"(241.54869712624046, 226.7407092767124, 241.549648449248, 353.07259503878436, 353.072370982491, 353.15110870279244, 116.06656157098243, 116.10998510738534, 116.35164336798624)","(237.34447703260315, 226.0789880796928, 240.47945583873067, 351.692913655796, 350.8141536066463, 351.669728754889, 114.9490502928861, 115.05942850477479, 115.21995235324201)","(5547.79321633431, 5190.288428384126, 5531.780690703741, 13278.27979387205, 13280.644451764667, 13281.45867910819, 7398.223029795952, 7400.6739152421815, 7416.988172993675)"
1.0,2240.435937073349,0.4547473508864641,"(241.54945043799546, 241.54945043799546, 257.32525385607016, 376.13222749306016, 376.13222749306016, 376.13222749306016, 118.45637821688378, 118.459232976232, 118.45270590831684)","(240.02852482236833, 241.33484674246978, 256.7569960924957, 375.7054375143886, 375.87372216012, 375.7150041209434, 117.96116720956093, 117.89674173346691, 117.8961771689)","(6171.317389311143, 6171.2030859450115, 6574.40253682838, 13814.82198252849, 13814.761140654642, 13814.821209337304, 7767.5858981752845, 7767.8687297934575, 7767.319287306855)"
 
