id,name,sector_id,country_id,production_cost_function,abatement_cost_function,actual_output,emission,profit,BAU_output,BAU_emission,BAU_profit,exp7_free_allocation,abatement,permits_costs,sales,permits_used,free_permits,permits_bought
11,S3_F1,3,3,0,x**3 + x**2 + x,651.827036909498,649.5074417412069,8527.91150715314,833.3341547308933,833.3341547308933,13888.9162688210,0.0,20.1807491550803,14146.762830019969,22694.8550863282,649.5074417412069,0,649.5074417412069
12,S3_F2,3,4,0,x**3 + 2*x**2 + x,651.8270369094981,649.7786781678003,8523.15016678963,833.329695341104,833.329695341104,13888.7676227459,0.0,19.0343552090441,14152.670564329514,22694.8550863282,649.7786781678003,0,649.7786781678003
13,S3_F3,3,5,0,2*x**3 + x**2 + x,651.8270369094981,650.1252183502163,8520.18104245901,833.3299897957584,833.3299897957584,13888.7774378600,0.0,14.4555725309836,14160.218471338198,22694.8550863282,650.1252183502163,0,650.1252183502163
14,S3_F4,3,2,0,x**3 + x**2 + 2*x,651.827036909498,649.5710274108761,8525.62357627688,833.3337034086384,833.3337034086384,13888.9012247351,0.0,21.0837361024608,14148.147773948844,22694.8550863282,649.5710274108761,0,649.5710274108761
15,S3_F5,3,1,0,2*x**3 + 2*x**2 + x,651.8270369094979,650.2697168179749,8517.52774912437,833.3362283618026,833.3362283618026,13888.9853900055,0.0,13.9615800590069,14163.36575714481,22694.8550863282,650.2697168179749,0,650.2697168179749
16,S4_F1,4,1,0,x**3 + 4*x**2 + 3*x,253.57693825459972,252.07512968059734,9660.98570335768,277.77805157696446,277.77805157696446,11574.0968906842,0.0,16.9143642934569,5490.386785065985,15168.2868527171,252.07512968059734,0,252.07512968059734
17,S4_F2,4,1,0,2*x**3 + 3*x**2 + 4*x,253.5769382545997,252.28432584199902,9658.84111224157,277.7765651137014,277.7765651137014,11573.9730189550,0.0,14.5025049517162,5494.943235523838,15168.2868527171,252.28432584199902,0,252.28432584199902
18,S4_F3,4,2,0,x**3 + 5*x**2 + 2*x,253.57693825459975,252.18233672522993,9660.33886779118,277.77666326525275,277.77666326525275,11573.9811982166,0.0,15.2261494253448,5492.721835500602,15168.2868527171,252.18233672522993,0,252.18233672522993
19,S4_F4,4,3,0,3*x**3 + 3*x**2 + 3*x,253.5769382545998,252.42775287638324,9658.25729494899,277.7779011362129,277.7779011362129,11574.0843539459,0.0,11.9623730661205,5498.067184702014,15168.2868527171,252.42775287638324,0,252.42775287638324
20,S4_F5,4,4,0,4*x**3 + 2*x**2 + 2*x,253.57693825459972,252.44893350528878,9659.21646986284,277.77874278726756,277.77874278726756,11574.1544916712,0.0,10.5418680512304,5498.5285148030425,15168.2868527171,252.44893350528878,0,252.44893350528878
21,S5_F1,5,1,0,x**3 + 4*x**2 + 5*x,231.8493703576165,230.46767828258538,133703.924955592,250.0002464192679,250.0002464192679,12500.0246419389,5644.440876009919,17.1825033571912,-117920.42688688758,15800.6805720617,230.46767828258538,0,-5413.973197727333
22,S5_F2,5,2,0,2*x**3 + 5*x**2 + 4*x,231.8493703576164,230.7701389975983,10761.6779058418,249.99890860233123,249.99890860233123,12499.8908604714,0.0,12.6546756597795,5026.347990560129,15800.6805720617,230.7701389975983,0,230.7701389975983
23,S5_F3,5,3,0,2*x**3 + 3*x**2 + 3*x,231.84937035761644,230.5108584788197,10765.7933359445,249.9989969387275,249.9989969387275,12499.8996940740,0.0,14.1865711608617,5020.700664956326,15800.6805720617,230.5108584788197,0,230.5108584788197
24,S5_F4,5,4,0,3*x**3 + 4*x**2 + 2*x,231.84937035761644,230.74610921174562,10763.7520862082,250.00011102259157,250.00011102259157,12500.0111022616,0.0,11.1038821854918,5025.824603668051,15800.6805720617,230.74610921174562,0,230.74610921174562
25,S5_F5,5,5,0,4*x**3 + 3*x**2 + x,231.84937035761655,230.75988178696542,10764.7327188217,250.0008685085409,250.0008685085409,12500.0868510050,0.0,9.82327247754614,5026.1245807624955,15800.6805720617,230.75988178696542,0,230.75988178696542
26,S6_F1,6,5,0,x**3 + x**2 + x,970.320740485663,968.0011453173719,9445.56518039526,1333.3311095030633,1333.3311095030633,17777.7184756867,0.0,20.1807491550803,21083.79633847043,30549.5422680208,968.0011453173719,0,968.0011453173719
27,S6_F2,6,4,0,x**3 + 2*x**2 + x,970.3207404856628,968.272381743965,9440.80384003175,1333.3281194707783,1333.3281194707783,17777.6387417148,0.0,19.0343552090441,21089.70407277997,30549.5422680208,968.272381743965,0,968.272381743965
28,S6_F3,6,3,0,2*x**3 + x**2 + x,970.3207404856629,968.6189219263811,9437.83471570114,1333.3312070588338,1333.3312070588338,17777.7210771697,0.0,14.4555725309836,21097.251979788653,30549.5422680208,968.6189219263811,0,968.6189219263811
29,S6_F4,6,2,0,x**3 + x**2 + 2*x,970.3207404856629,968.064730987041,9443.27724951901,1333.3358417348077,1333.3358417348077,17777.8446685467,0.0,21.0837361024608,21085.181282399302,30549.5422680208,968.064730987041,0,968.064730987041
30,S6_F5,6,1,0,2*x**3 + 2*x**2 + x,970.3207404856629,968.7634203941399,9435.18142236650,1333.3368611162587,1333.3368611162587,17777.8718521136,0.0,13.9615800590069,21100.39926559527,30549.5422680208,968.7634203941399,0,968.7634203941399
