DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,2016,175.16,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,2017,174.49,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,2018,171.60,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,2019,168.61,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,2020,160.24,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BE,2021,168.08,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,1995,1165.54,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,1996,1094.66,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,1997,1145.84,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,1998,1061.69,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,1999,1051.71,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2000,1026.04,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2001,1032.96,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2002,953.01,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2003,930.11,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2004,849.81,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2005,840.01,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2006,810.00,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2007,745.08,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2008,693.61,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2009,632.87,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2010,631.51,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2011,661.89,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2012,629.09,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2013,588.66,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2014,609.50,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2015,615.96,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2016,585.16,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2017,589.41,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2018,576.09,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2019,548.94,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2020,541.39,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,BG,2021,543.95,
ESTAT:NRG_IND_EI(1.0),09/03/23 23:00:00,A,EI_GDP_CLV05,KGOE_TEUR,CY,1995,202.93,
